datetime	open	high	low	close	volume
15.10.2020 00:00	0.28	0.28	0.274	0.28	4
16.10.2020 00:00	0.284	0.308	0.276	0.28	119
19.10.2020 00:00	0.282	0.296	0.262	0.27	101
20.10.2020 00:00	0.276	0.294	0.266	0.274	52
21.10.2020 00:00	0.268	0.272	0.268	0.272	13
22.10.2020 00:00	0.272	0.292	0.26	0.268	96
23.10.2020 00:00	0.274	0.274	0.27	0.272	11
26.10.2020 00:00	0.278	0.278	0.274	0.274	9
27.10.2020 00:00	0.27	0.27	0.266	0.266	4
28.10.2020 00:00	0.266	0.266	0.25	0.262	18
29.10.2020 00:00	0.27	0.282	0.264	0.264	8
30.10.2020 00:00	0.262	0.27	0.236	0.26	33
02.11.2020 00:00	0.258	0.276	0.256	0.262	118
03.11.2020 00:00	0.264	0.266	0.262	0.264	56
05.11.2020 00:00	0.262	0.262	0.26	0.262	31
06.11.2020 00:00	0.264	0.296	0.264	0.288	350
09.11.2020 00:00	0.296	0.296	0.28	0.282	105
10.11.2020 00:00	0.28	0.294	0.274	0.278	99
11.11.2020 00:00	0.278	0.278	0.278	0.278	1
12.11.2020 00:00	0.28	0.28	0.276	0.276	20
13.11.2020 00:00	0.276	0.278	0.274	0.278	23
16.11.2020 00:00	0.278	0.28	0.276	0.278	25
17.11.2020 00:00	0.278	0.28	0.276	0.278	19
18.11.2020 00:00	0.278	0.278	0.276	0.278	13
19.11.2020 00:00	0.28	0.28	0.268	0.276	19
20.11.2020 00:00	0.276	0.276	0.272	0.274	45
23.11.2020 00:00	0.274	0.286	0.274	0.28	31
24.11.2020 00:00	0.278	0.28	0.276	0.28	69
25.11.2020 00:00	0.28	0.28	0.27	0.274	124
26.11.2020 00:00	0.276	0.28	0.27	0.274	102
27.11.2020 00:00	0.276	0.288	0.272	0.28	88
30.11.2020 00:00	0.286	0.286	0.274	0.28	112
01.12.2020 00:00	0.28	0.282	0.276	0.28	96
02.12.2020 00:00	0.278	0.28	0.276	0.28	125
03.12.2020 00:00	0.28	0.282	0.28	0.28	107
04.12.2020 00:00	0.282	0.282	0.278	0.28	94
07.12.2020 00:00	0.28	0.286	0.278	0.28	80
08.12.2020 00:00	0.278	0.278	0.274	0.274	37
09.12.2020 00:00	0.28	0.28	0.274	0.278	62
10.12.2020 00:00	0.274	0.278	0.274	0.276	37
11.12.2020 00:00	0.274	0.274	0.274	0.274	37
14.12.2020 00:00	0.272	0.28	0.27	0.28	97
15.12.2020 00:00	0.28	0.28	0.274	0.278	81
16.12.2020 00:00	0.276	0.276	0.272	0.276	77
17.12.2020 00:00	0.276	0.276	0.27	0.274	110
18.12.2020 00:00	0.276	0.276	0.27	0.274	78
21.12.2020 00:00	0.27	0.272	0.27	0.27	38
22.12.2020 00:00	0.27	0.276	0.268	0.274	76
23.12.2020 00:00	0.272	0.274	0.272	0.274	80
24.12.2020 00:00	0.27	0.276	0.27	0.274	87
25.12.2020 00:00	0.276	0.28	0.276	0.28	29
28.12.2020 00:00	0.268	0.278	0.268	0.274	88
29.12.2020 00:00	0.27	0.276	0.27	0.272	102
30.12.2020 00:00	0.272	0.272	0.268	0.272	62
04.01.2021 00:00	0.274	0.274	0.27	0.27	8
05.01.2021 00:00	0.272	0.276	0.27	0.27	56
06.01.2021 00:00	0.272	0.276	0.272	0.272	62
08.01.2021 00:00	0.274	0.278	0.274	0.278	13
11.01.2021 00:00	0.276	0.278	0.272	0.278	58
12.01.2021 00:00	0.28	0.28	0.278	0.28	62
13.01.2021 00:00	0.28	0.284	0.28	0.284	66
14.01.2021 00:00	0.28	0.284	0.28	0.282	77
15.01.2021 00:00	0.284	0.292	0.28	0.284	91
18.01.2021 00:00	0.282	0.292	0.282	0.284	171
19.01.2021 00:00	0.286	0.286	0.284	0.284	24
20.01.2021 00:00	0.282	0.286	0.282	0.282	108
21.01.2021 00:00	0.282	0.286	0.28	0.282	93
22.01.2021 00:00	0.28	0.284	0.28	0.284	12
25.01.2021 00:00	0.284	0.288	0.28	0.288	82
26.01.2021 00:00	0.29	0.292	0.282	0.286	81
27.01.2021 00:00	0.284	0.286	0.282	0.284	16
28.01.2021 00:00	0.288	0.29	0.282	0.284	90
29.01.2021 00:00	0.286	0.306	0.286	0.294	395
01.02.2021 00:00	0.294	0.294	0.286	0.288	10
02.02.2021 00:00	0.29	0.29	0.284	0.288	92
03.02.2021 00:00	0.288	0.292	0.286	0.29	15
04.02.2021 00:00	0.29	0.292	0.284	0.29	94
05.02.2021 00:00	0.286	0.292	0.286	0.292	120
08.02.2021 00:00	0.292	0.292	0.288	0.29	105
09.02.2021 00:00	0.292	0.292	0.282	0.292	124
10.02.2021 00:00	0.29	0.3	0.288	0.292	144
11.02.2021 00:00	0.292	0.298	0.292	0.296	139
12.02.2021 00:00	0.294	0.296	0.288	0.292	111
15.02.2021 00:00	0.296	0.296	0.294	0.296	126
16.02.2021 00:00	0.296	0.296	0.29	0.294	160
17.02.2021 00:00	0.296	0.296	0.286	0.286	152
18.02.2021 00:00	0.294	0.298	0.286	0.298	300
19.02.2021 00:00	0.294	0.298	0.29	0.294	131
20.02.2021 00:00	0.29	0.294	0.29	0.292	5
22.02.2021 00:00	0.284	0.328	0.284	0.296	553
24.02.2021 00:00	0.322	0.394	0.286	0.308	2197
25.02.2021 00:00	0.282	0.31	0.282	0.292	349
26.02.2021 00:00	0.294	0.298	0.28	0.282	225
01.03.2021 00:00	0.284	0.286	0.278	0.28	204
02.03.2021 00:00	0.28	0.282	0.28	0.282	121
03.03.2021 00:00	0.28	0.286	0.28	0.28	74
04.03.2021 00:00	0.28	0.286	0.28	0.28	132
05.03.2021 00:00	0.28	0.28	0.28	0.28	28
09.03.2021 00:00	0.28	0.28	0.28	0.28	109
10.03.2021 00:00	0.28	0.28	0.276	0.278	170
11.03.2021 00:00	0.28	0.288	0.278	0.28	246
12.03.2021 00:00	0.28	0.282	0.28	0.28	168
15.03.2021 00:00	0.28	0.282	0.28	0.282	138
16.03.2021 00:00	0.28	0.28	0.28	0.28	149
17.03.2021 00:00	0.28	0.28	0.28	0.28	166
18.03.2021 00:00	0.28	0.28	0.28	0.28	131
19.03.2021 00:00	0.28	0.282	0.28	0.28	162
22.03.2021 00:00	0.28	0.296	0.28	0.28	404
23.03.2021 00:00	0.28	0.306	0.28	0.28	425
24.03.2021 00:00	0.28	0.288	0.278	0.28	106
25.03.2021 00:00	0.28	0.284	0.278	0.28	156
26.03.2021 00:00	0.28	0.284	0.26	0.282	235
29.03.2021 00:00	0.282	0.284	0.28	0.282	175
30.03.2021 00:00	0.284	0.284	0.28	0.28	138
31.03.2021 00:00	0.28	0.282	0.28	0.28	149
01.04.2021 00:00	0.282	0.286	0.282	0.282	140
02.04.2021 00:00	0.282	0.35	0.282	0.348	1164
05.04.2021 00:00	0.348	0.348	0.304	0.314	1231
06.04.2021 00:00	0.314	0.314	0.3	0.306	338
07.04.2021 00:00	0.304	0.356	0.304	0.316	292
08.04.2021 00:00	0.314	0.328	0.308	0.324	174
09.04.2021 00:00	0.324	0.324	0.29	0.306	380
12.04.2021 00:00	0.304	0.304	0.298	0.3	178
13.04.2021 00:00	0.3	0.3	0.294	0.298	166
14.04.2021 00:00	0.296	0.296	0.292	0.294	174
15.04.2021 00:00	0.298	0.298	0.292	0.294	134
16.04.2021 00:00	0.292	0.294	0.284	0.288	195
19.04.2021 00:00	0.29	0.302	0.288	0.298	214
20.04.2021 00:00	0.298	0.302	0.298	0.298	143
21.04.2021 00:00	0.3	0.306	0.298	0.3	126
22.04.2021 00:00	0.3	0.302	0.294	0.298	160
23.04.2021 00:00	0.298	0.3	0.292	0.3	131
26.04.2021 00:00	0.308	0.336	0.302	0.326	245
27.04.2021 00:00	0.304	0.346	0.304	0.332	338
28.04.2021 00:00	0.336	0.342	0.312	0.316	162
29.04.2021 00:00	0.314	0.326	0.304	0.31	227
30.04.2021 00:00	0.31	0.328	0.306	0.312	158
04.05.2021 00:00	0.322	0.346	0.32	0.332	393
05.05.2021 00:00	0.332	0.376	0.31	0.32	1465
06.05.2021 00:00	0.316	0.39	0.316	0.378	2272
07.05.2021 00:00	0.364	0.388	0.344	0.352	810
10.05.2021 00:00	0.354	0.376	0.348	0.35	146
11.05.2021 00:00	0.354	0.354	0.338	0.342	158
12.05.2021 00:00	0.344	0.344	0.336	0.34	150
13.05.2021 00:00	0.336	0.336	0.32	0.324	194
14.05.2021 00:00	0.324	0.326	0.314	0.32	99
17.05.2021 00:00	0.324	0.326	0.314	0.326	26
18.05.2021 00:00	0.32	0.378	0.32	0.348	590
19.05.2021 00:00	0.342	0.358	0.33	0.336	161
20.05.2021 00:00	0.326	0.344	0.326	0.338	38
21.05.2021 00:00	0.342	0.39	0.34	0.37	574
24.05.2021 00:00	0.376	0.428	0.368	0.39	1871
25.05.2021 00:00	0.39	0.498	0.378	0.4	5532
26.05.2021 00:00	0.406	0.406	0.356	0.364	698
27.05.2021 00:00	0.364	0.366	0.342	0.35	206
